transaction_id,sender_id,receiver_id,amount,timestamp,is_fraud
TXN0011988,ACC01612,ACC00667,702.94,2024-01-01 00:06:40.605342,0
TXN0010162,ACC01214,ACC01248,46.51,2024-01-01 00:11:04.278144,0
TXN0017837,ACC00899,ACC01877,46.28,2024-01-01 00:12:04.864163,0
TXN0006700,ACC00084,ACC01259,138.28,2024-01-01 00:27:37.182838,0
TXN0001951,ACC00531,ACC01342,150.55,2024-01-01 00:37:13.825942,0
TXN0019413,ACC00119,ACC00361,8.88,2024-01-01 00:51:14.541453,1
TXN0017773,ACC00162,ACC00707,34.34,2024-01-01 01:07:12.162442,0
TXN0008950,ACC01706,ACC00453,44.04,2024-01-01 01:10:36.117882,0
TXN0000020,ACC01171,ACC01882,192.25,2024-01-01 01:14:07.064291,0
TXN0019684,ACC00068,ACC01786,10725.94,2024-01-01 01:18:04.725218,1
TXN0004663,ACC01461,ACC01709,18.81,2024-01-01 01:23:09.948064,0
TXN0011056,ACC01975,ACC01508,12.09,2024-01-01 01:25:53.140471,0
TXN0001193,ACC00979,ACC00934,48.61,2024-01-01 01:27:36.043438,0
TXN0001377,ACC01162,ACC00978,115.34,2024-01-01 01:28:34.867881,0
TXN0014368,ACC00850,ACC00875,188.75,2024-01-01 01:29:39.209720,0
TXN0016874,ACC00973,ACC00278,2.28,2024-01-01 01:32:55.887812,0
TXN0012919,ACC01931,ACC01595,9.01,2024-01-01 01:40:33.162199,0
TXN0002622,ACC01444,ACC01311,36.62,2024-01-01 01:52:26.783899,0
TXN0008824,ACC01852,ACC01379,95.61,2024-01-01 02:04:24.903437,0
TXN0003440,ACC01002,ACC00085,39.43,2024-01-01 02:09:44.231775,0
TXN0008110,ACC00830,ACC01997,10.42,2024-01-01 02:12:55.813468,0
TXN0011348,ACC00868,ACC00406,174.41,2024-01-01 02:22:08.008603,0
TXN0008270,ACC01316,ACC00258,5.63,2024-01-01 02:22:13.172245,0
TXN0009390,ACC00647,ACC01983,28.69,2024-01-01 02:26:15.936908,0
TXN0013198,ACC01891,ACC00473,85.04,2024-01-01 02:36:28.137672,0
TXN0008300,ACC01055,ACC00332,189.54,2024-01-01 02:38:00.139998,0
TXN0013589,ACC00972,ACC00054,42.34,2024-01-01 02:49:45.060503,0
TXN0018904,ACC01584,ACC00848,13.21,2024-01-01 02:50:01.072041,0
TXN0013075,ACC00806,ACC00849,15.43,2024-01-01 02:56:43.080064,0
TXN0019916,ACC00228,ACC01385,1.16,2024-01-01 03:02:34.922980,1
TXN0008481,ACC01342,ACC00356,31.85,2024-01-01 03:04:34.370580,0
TXN0006881,ACC01336,ACC01019,31.4,2024-01-01 03:08:15.725014,0
TXN0009337,ACC01994,ACC00673,25.67,2024-01-01 03:13:06.962107,0
TXN0017755,ACC00022,ACC00223,4.21,2024-01-01 03:15:29.349749,0
TXN0017616,ACC01128,ACC00016,41.53,2024-01-01 03:22:48.685031,0
TXN0000138,ACC01570,ACC00893,87.9,2024-01-01 03:39:11.379428,0
TXN0019199,ACC01306,ACC00146,78.96,2024-01-01 03:48:43.947811,0
TXN0016781,ACC01769,ACC00132,39.46,2024-01-01 04:01:59.141965,0
TXN0012435,ACC00674,ACC00910,24.58,2024-01-01 04:03:46.294146,0
TXN0008861,ACC01214,ACC01454,38.96,2024-01-01 04:07:39.927722,0
TXN0015567,ACC01866,ACC00809,192.18,2024-01-01 04:11:58.792045,0
TXN0006318,ACC00993,ACC01660,104.46,2024-01-01 04:12:32.216909,0
TXN0006693,ACC00336,ACC00105,57.96,2024-01-01 04:30:30.543972,0
TXN0017876,ACC01215,ACC01652,23.02,2024-01-01 04:47:41.561773,0
TXN0013073,ACC01296,ACC01370,57.53,2024-01-01 04:48:32.889638,0
TXN0016281,ACC01216,ACC01653,17.47,2024-01-01 05:05:39.729578,0
TXN0018023,ACC01483,ACC00853,41.83,2024-01-01 05:15:00.872546,0
TXN0013545,ACC00323,ACC00230,127.6,2024-01-01 05:16:48.119959,0
TXN0002854,ACC00056,ACC01621,142.82,2024-01-01 05:17:05.344474,0
TXN0011131,ACC01324,ACC00633,53.18,2024-01-01 05:18:28.457490,0
TXN0017895,ACC01060,ACC00494,32.02,2024-01-01 05:26:53.896991,0
TXN0016358,ACC01758,ACC00654,45.87,2024-01-01 05:40:41.488793,0
TXN0012399,ACC00311,ACC01487,18.15,2024-01-01 05:46:24.427811,0
TXN0015145,ACC00946,ACC01186,10.21,2024-01-01 05:55:09.121982,0
TXN0010137,ACC01388,ACC01916,3.67,2024-01-01 06:00:02.921486,0
TXN0009710,ACC00673,ACC01672,9.43,2024-01-01 06:01:28.954292,0
TXN0019283,ACC01356,ACC01434,22.78,2024-01-01 06:02:25.030978,0
TXN0006890,ACC00250,ACC01177,111.39,2024-01-01 06:05:10.166359,0
TXN0011712,ACC00353,ACC00304,130.18,2024-01-01 06:18:41.523987,0
TXN0019572,ACC00793,ACC00219,27857.0,2024-01-01 06:29:09.749763,1
TXN0017910,ACC00224,ACC01661,4.1,2024-01-01 06:29:29.779440,0
TXN0019776,ACC01688,ACC00119,25.63,2024-01-01 06:32:33.762282,1
TXN0007229,ACC00639,ACC01696,73.31,2024-01-01 06:38:09.728077,0
TXN0007139,ACC00923,ACC01878,167.95,2024-01-01 06:38:24.269074,0
TXN0019010,ACC00305,ACC00213,5.44,2024-01-01 06:52:14.874944,0
TXN0005208,ACC01854,ACC01928,9.67,2024-01-01 06:57:52.799352,0
TXN0015354,ACC00925,ACC00333,78.57,2024-01-01 07:00:44.729429,0
TXN0013725,ACC01966,ACC01877,80.69,2024-01-01 07:02:38.212704,0
TXN0010995,ACC01937,ACC00010,44.24,2024-01-01 07:24:34.702007,0
TXN0010379,ACC01774,ACC00907,27.77,2024-01-01 07:26:59.497200,0
TXN0009189,ACC01534,ACC01884,228.69,2024-01-01 07:45:45.267064,0
TXN0013576,ACC00029,ACC00905,246.28,2024-01-01 07:47:01.002994,0
TXN0002625,ACC00872,ACC01177,11.78,2024-01-01 08:00:00.395069,0
TXN0012770,ACC00997,ACC01724,157.2,2024-01-01 08:06:06.625027,0
TXN0010368,ACC00275,ACC00060,6.4,2024-01-01 08:09:54.653353,0
TXN0014593,ACC00591,ACC00450,35.68,2024-01-01 08:11:31.633044,0
TXN0008925,ACC00045,ACC01152,71.62,2024-01-01 08:18:36.123256,0
TXN0016147,ACC00196,ACC00093,184.56,2024-01-01 08:19:38.645388,0
TXN0013118,ACC01764,ACC00959,4.55,2024-01-01 08:29:09.719834,0
TXN0013430,ACC00018,ACC01322,15.04,2024-01-01 08:47:50.353955,0
TXN0010424,ACC00559,ACC00033,10.53,2024-01-01 08:49:15.416883,0
TXN0003167,ACC01289,ACC01990,40.03,2024-01-01 08:54:41.642824,0
TXN0002812,ACC00715,ACC00319,266.83,2024-01-01 09:16:32.522036,0
TXN0011323,ACC01920,ACC00426,226.88,2024-01-01 09:17:20.425871,0
TXN0013096,ACC00671,ACC00145,214.88,2024-01-01 09:18:11.236575,0
TXN0010940,ACC01480,ACC01777,8.67,2024-01-01 09:18:19.830070,0
TXN0010135,ACC00291,ACC01801,18.72,2024-01-01 09:19:04.436144,0
TXN0010303,ACC00437,ACC01395,10.4,2024-01-01 09:26:05.801594,0
TXN0001113,ACC00953,ACC00796,60.03,2024-01-01 09:36:43.536904,0
TXN0018896,ACC00110,ACC01311,160.85,2024-01-01 09:38:46.229237,0
TXN0009768,ACC00510,ACC00054,77.01,2024-01-01 09:44:25.624421,0
TXN0005881,ACC01168,ACC00025,176.08,2024-01-01 10:04:04.138581,0
TXN0012606,ACC01548,ACC00782,46.97,2024-01-01 10:23:43.651977,0
TXN0009343,ACC00247,ACC01254,56.48,2024-01-01 10:25:52.250341,0
TXN0014029,ACC01134,ACC00618,196.81,2024-01-01 10:31:16.024634,0
TXN0016233,ACC01517,ACC01679,28.53,2024-01-01 10:31:38.629246,0
TXN0019477,ACC00815,ACC01848,21.67,2024-01-01 10:41:50.717531,1
TXN0019278,ACC00122,ACC01574,12.95,2024-01-01 10:47:49.496894,0
TXN0010990,ACC01856,ACC00455,29.46,2024-01-01 11:00:08.156156,0
TXN0006870,ACC00530,ACC00836,54.1,2024-01-01 11:25:07.746502,0
TXN0003137,ACC01791,ACC00093,9.72,2024-01-01 11:34:47.020931,0
TXN0008854,ACC00004,ACC00128,27.64,2024-01-01 11:37:35.445510,0
TXN0007686,ACC00267,ACC01150,18.18,2024-01-01 11:48:28.901621,0
TXN0019314,ACC01166,ACC00678,68.04,2024-01-01 11:57:53.213633,0
TXN0008249,ACC00794,ACC00500,74.58,2024-01-01 12:08:10.228424,0
