account_id,is_fraud,community_id,degree_centrality,betweenness_centrality,pagerank,clustering_coeff,eigenvector_centrality,total_sent,n_sent,mean_sent,std_sent,unique_receivers,total_received,n_received,unique_senders
ACC01612,0,6,0.011005502751375688,0.006280793049177242,0.00039991051656166916,1.2045666062027067e-05,0.0,1305.28,10.0,130.528,212.08096225524605,10.0,919.68,12.0,12.0
ACC00667,1,1,0.012006003001500749,0.001905482270664862,0.0011491490541366352,2.365854686104378e-06,0.0,644.62,15.0,42.974666666666664,51.15580945457105,15.0,51067.67,9.0,9.0
ACC01214,0,2,0.01250625312656328,0.001647971132713504,0.00036657912904899937,0.0,0.0,1035.94,15.0,69.06266666666667,172.5679604208427,15.0,816.0699999999999,10.0,10.0
ACC01248,0,2,0.00850425212606303,0.0015038800681622094,0.00036219570337497615,0.0,0.0,608.85,9.0,67.65,94.38353603780693,9.0,555.87,8.0,8.0
ACC00899,0,3,0.006003001500750374,0.00017100642413298743,0.00028055695560957525,2.5612704144649064e-05,0.0,591.75,5.0,118.35,159.8413766832606,5.0,533.2,7.0,7.0
ACC01877,0,1,0.011005502751375688,0.00046607387777973075,0.00035485564652132785,7.2090731009425355e-06,0.0,613.65,10.0,61.364999999999995,52.588275045129805,10.0,531.96,12.0,12.0
ACC00084,0,6,0.010505252626313155,0.008524156973381587,0.000412648120663669,5.143392591840091e-06,0.0,493.47,11.0,44.8609090909091,46.579404129839496,10.0,513.99,11.0,11.0
ACC01259,0,1,0.009004502251125562,0.00036654964118695984,0.0007277126261678506,8.489769230122804e-06,0.0,91.4,4.0,22.85,15.081832337838353,4.0,1132.41,14.0,14.0
ACC00531,0,1,0.010005002501250625,0.001149223260278788,0.0005741115343571675,7.506567027429333e-06,0.0,472.34000000000003,7.0,67.47714285714287,52.049500706630454,7.0,1568.2500000000002,13.0,13.0
ACC01342,0,1,0.013006503251625811,0.0013074605370753446,0.0013875604444499486,1.171443210976357e-06,0.0,1594.12,9.0,177.12444444444444,219.98231310216232,9.0,1042.29,18.0,17.0
ACC00119,1,5,0.0080040020010005,0.0030987716080262354,0.0021373115709349215,0.0003361055708559538,0.0,30861.57,2.0,15430.785,21809.867208629446,2.0,12394.48,15.0,14.0
ACC00361,1,3,0.009004502251125562,0.005352150549749349,0.00021277993613055948,8.097699222931768e-07,0.0,429.64,11.0,39.058181818181815,30.82029520240902,11.0,360.99999999999994,7.0,7.0
ACC00162,0,2,0.011505752876438218,0.0022920619468893605,0.0004837449718411011,6.4430117056154994e-06,0.0,963.29,12.0,80.27416666666666,75.18371976315247,12.0,703.22,11.0,11.0
ACC00707,0,1,0.00850425212606303,0.0006066596861994562,0.00026383617930833694,0.0,0.0,489.87,9.0,54.43,62.41455279019469,9.0,275.51,8.0,8.0
ACC01706,0,2,0.009504752376188093,0.003764519897586431,0.0003436759211422946,1.3175043181579055e-05,0.0,544.7099999999999,13.0,41.90076923076923,29.24193833678451,13.0,475.52,6.0,6.0
