account_id,driver_1,driver_1_shap,driver_2,driver_2_shap,driver_3,driver_3_shap,summary
ACC01612,amount anomaly,-0.210974,fraud ring structure,-0.069193,high avg transaction,-0.05324,amount anomaly | fraud ring structure | high avg transaction
ACC00667,amount anomaly,0.456199,network influence,0.119277,high avg transaction,-0.019973,amount anomaly | network influence | high avg transaction
ACC01214,amount anomaly,-0.184095,high avg transaction,-0.051603,fraud ring structure,-0.039355,amount anomaly | high avg transaction | fraud ring structure
ACC01248,amount anomaly,-0.184289,high avg transaction,-0.05848,large total outflow,-0.05198,amount anomaly | high avg transaction | large total outflow
ACC00899,amount anomaly,-0.222124,high avg transaction,-0.066887,large total outflow,-0.059616,amount anomaly | high avg transaction | large total outflow
ACC01877,amount anomaly,-0.193184,high avg transaction,-0.05715,transfer hub,-0.051304,amount anomaly | high avg transaction | transfer hub
ACC00084,amount anomaly,-0.186275,high avg transaction,-0.05859,network influence,-0.041825,amount anomaly | high avg transaction | network influence
ACC01259,amount anomaly,-0.217749,high avg transaction,-0.072505,transfer hub,-0.053719,amount anomaly | high avg transaction | transfer hub
ACC00531,amount anomaly,-0.167519,network influence,-0.062804,fraud ring structure,-0.055501,amount anomaly | network influence | fraud ring structure
ACC01342,amount anomaly,-0.25023,high avg transaction,-0.054935,large total outflow,-0.052612,amount anomaly | high avg transaction | large total outflow
ACC00119,amount anomaly,0.242092,high avg transaction,0.062812,fraud ring structure,0.057617,amount anomaly | high avg transaction | fraud ring structure
ACC00361,amount anomaly,-0.115321,transfer hub,0.06348,network influence,0.051591,amount anomaly | transfer hub | network influence
ACC00162,amount anomaly,-0.196213,high avg transaction,-0.052993,network influence,-0.049226,amount anomaly | high avg transaction | network influence
ACC00707,amount anomaly,-0.195277,transfer hub,-0.072476,high avg transaction,-0.050551,amount anomaly | transfer hub | high avg transaction
ACC01706,amount anomaly,-0.183154,high avg transaction,-0.049167,large total outflow,-0.048312,amount anomaly | high avg transaction | large total outflow
ACC00453,amount anomaly,-0.195193,high avg transaction,-0.06312,large total outflow,-0.057092,amount anomaly | high avg transaction | large total outflow
ACC01171,amount anomaly,-0.188713,high avg transaction,-0.050272,fraud ring structure,-0.046681,amount anomaly | high avg transaction | fraud ring structure
ACC01882,amount anomaly,-0.201238,network influence,-0.062488,high avg transaction,-0.054181,amount anomaly | network influence | high avg transaction
ACC00068,amount anomaly,0.304187,high avg transaction,0.081303,fraud ring structure,0.078894,amount anomaly | high avg transaction | fraud ring structure
ACC01786,amount anomaly,0.278663,high avg transaction,0.071769,fraud ring structure,0.065806,amount anomaly | high avg transaction | fraud ring structure
ACC01461,amount anomaly,-0.181409,high avg transaction,-0.061271,diverse receivers,-0.046043,amount anomaly | high avg transaction | diverse receivers
ACC01709,amount anomaly,-0.193315,high avg transaction,-0.059638,network influence,-0.053818,amount anomaly | high avg transaction | network influence
ACC01975,amount anomaly,-0.211067,high avg transaction,-0.061672,large total outflow,-0.058999,amount anomaly | high avg transaction | large total outflow
ACC01508,amount anomaly,0.280322,high avg transaction,0.07154,fraud ring structure,0.066616,amount anomaly | high avg transaction | fraud ring structure
ACC00979,amount anomaly,-0.187466,high avg transaction,-0.049812,network influence,-0.04448,amount anomaly | high avg transaction | network influence
ACC00934,amount anomaly,-0.206837,network influence,-0.052089,high avg transaction,-0.052031,amount anomaly | network influence | high avg transaction
ACC01162,amount anomaly,-0.191624,high avg transaction,-0.048719,network influence,-0.045172,amount anomaly | high avg transaction | network influence
ACC00978,amount anomaly,-0.19535,high avg transaction,-0.056597,transfer hub,-0.051272,amount anomaly | high avg transaction | transfer hub
ACC00850,amount anomaly,-0.185113,high avg transaction,-0.051144,high send volume,-0.047257,amount anomaly | high avg transaction | high send volume
ACC00875,amount anomaly,-0.184755,high avg transaction,-0.0606,network influence,-0.056676,amount anomaly | high avg transaction | network influence
ACC00973,amount anomaly,-0.175976,high avg transaction,-0.059296,transfer hub,-0.04866,amount anomaly | high avg transaction | transfer hub
ACC00278,amount anomaly,-0.195342,high avg transaction,-0.060971,fraud ring structure,-0.060661,amount anomaly | high avg transaction | fraud ring structure
ACC01931,amount anomaly,-0.269119,high avg transaction,-0.055369,fraud ring structure,-0.047159,amount anomaly | high avg transaction | fraud ring structure
ACC01595,amount anomaly,-0.193948,high avg transaction,-0.063106,large total outflow,-0.060128,amount anomaly | high avg transaction | large total outflow
ACC01444,amount anomaly,0.563052,large total outflow,-0.021646,high avg transaction,-0.02155,amount anomaly | large total outflow | high avg transaction
ACC01311,amount anomaly,-0.188896,fraud ring structure,-0.060422,large total outflow,-0.050717,amount anomaly | fraud ring structure | large total outflow
ACC01852,amount anomaly,-0.179647,high avg transaction,-0.055163,large total outflow,-0.053356,amount anomaly | high avg transaction | large total outflow
ACC01379,amount anomaly,-0.196332,transfer hub,-0.049631,fraud ring structure,-0.042059,amount anomaly | transfer hub | fraud ring structure
ACC01002,amount anomaly,-0.180125,large total outflow,-0.059142,high avg transaction,-0.050324,amount anomaly | large total outflow | high avg transaction
ACC00085,amount anomaly,-0.199036,high avg transaction,-0.055744,network influence,-0.053323,amount anomaly | high avg transaction | network influence
ACC00830,amount anomaly,-0.192317,high avg transaction,-0.065129,large total outflow,-0.052723,amount anomaly | high avg transaction | large total outflow
ACC01997,amount anomaly,-0.146852,transfer hub,0.062773,high receive volume,0.061207,amount anomaly | transfer hub | high receive volume
ACC00868,amount anomaly,-0.192275,transfer hub,-0.061678,high avg transaction,-0.05814,amount anomaly | transfer hub | high avg transaction
ACC00406,amount anomaly,-0.201201,fraud ring structure,-0.061003,high avg transaction,-0.056778,amount anomaly | fraud ring structure | high avg transaction
ACC01316,amount anomaly,-0.123347,network influence,0.089921,transfer hub,0.059543,amount anomaly | network influence | transfer hub
ACC00258,amount anomaly,-0.219111,high avg transaction,-0.074939,large total outflow,-0.052611,amount anomaly | high avg transaction | large total outflow
ACC00647,amount anomaly,-0.18425,transfer hub,-0.066777,high avg transaction,-0.051666,amount anomaly | transfer hub | high avg transaction
ACC01983,amount anomaly,-0.185279,high avg transaction,-0.047157,large total outflow,-0.042725,amount anomaly | high avg transaction | large total outflow
ACC01891,amount anomaly,-0.188555,network influence,-0.050863,high avg transaction,-0.04949,amount anomaly | network influence | high avg transaction
ACC00473,amount anomaly,-0.186153,network influence,-0.061009,high avg transaction,-0.052838,amount anomaly | network influence | high avg transaction
ACC01055,amount anomaly,-0.208722,high avg transaction,-0.075304,fraud ring structure,-0.054464,amount anomaly | high avg transaction | fraud ring structure
ACC00332,amount anomaly,-0.185947,high avg transaction,-0.057253,network influence,-0.045889,amount anomaly | high avg transaction | network influence
ACC00972,amount anomaly,-0.193698,high avg transaction,-0.052942,fraud ring structure,-0.041097,amount anomaly | high avg transaction | fraud ring structure
ACC00054,amount anomaly,-0.191602,high avg transaction,-0.06807,transfer hub,-0.048656,amount anomaly | high avg transaction | transfer hub
ACC01584,amount anomaly,-0.165635,high avg transaction,-0.058675,large total outflow,-0.056585,amount anomaly | high avg transaction | large total outflow
ACC00848,amount anomaly,-0.193094,high avg transaction,-0.04852,large total outflow,-0.044302,amount anomaly | high avg transaction | large total outflow
ACC00806,amount anomaly,0.51342,high connectivity,0.030651,high avg transaction,-0.020875,amount anomaly | high connectivity | high avg transaction
ACC00849,amount anomaly,-0.190196,high avg transaction,-0.056218,fraud ring structure,-0.052439,amount anomaly | high avg transaction | fraud ring structure
ACC00228,amount anomaly,-0.192079,high avg transaction,-0.058231,network influence,-0.055821,amount anomaly | high avg transaction | network influence
ACC01385,amount anomaly,0.244571,high avg transaction,0.063715,fraud ring structure,0.0581,amount anomaly | high avg transaction | fraud ring structure
ACC00356,amount anomaly,-0.206012,high avg transaction,-0.062514,large total outflow,-0.052147,amount anomaly | high avg transaction | large total outflow
ACC01336,amount anomaly,-0.208398,high avg transaction,-0.051844,network influence,-0.045922,amount anomaly | high avg transaction | network influence
ACC01019,amount anomaly,-0.206415,high avg transaction,-0.058606,fraud ring structure,-0.054766,amount anomaly | high avg transaction | fraud ring structure
ACC01994,amount anomaly,-0.191159,high avg transaction,-0.054194,large total outflow,-0.053889,amount anomaly | high avg transaction | large total outflow
ACC00673,amount anomaly,-0.183496,high avg transaction,-0.061402,large total outflow,-0.055395,amount anomaly | high avg transaction | large total outflow
ACC00022,amount anomaly,-0.217361,high avg transaction,-0.056055,network influence,-0.049369,amount anomaly | high avg transaction | network influence
ACC00223,amount anomaly,-0.180396,high avg transaction,-0.054456,fraud ring structure,-0.053845,amount anomaly | high avg transaction | fraud ring structure
ACC01128,amount anomaly,-0.178065,high avg transaction,-0.058696,large total outflow,-0.044772,amount anomaly | high avg transaction | large total outflow
ACC00016,amount anomaly,-0.189265,high avg transaction,-0.062193,large total outflow,-0.048437,amount anomaly | high avg transaction | large total outflow
ACC01570,amount anomaly,-0.194009,high avg transaction,-0.057458,large total outflow,-0.05161,amount anomaly | high avg transaction | large total outflow
ACC00893,amount anomaly,-0.221435,fraud ring structure,-0.052697,high avg transaction,-0.050904,amount anomaly | fraud ring structure | high avg transaction
ACC01306,amount anomaly,-0.201663,high avg transaction,-0.063239,network influence,-0.050228,amount anomaly | high avg transaction | network influence
ACC00146,amount anomaly,0.279823,fraud ring structure,0.080301,high avg transaction,0.064519,amount anomaly | fraud ring structure | high avg transaction
ACC01769,amount anomaly,-0.190147,high avg transaction,-0.053576,large total outflow,-0.038335,amount anomaly | high avg transaction | large total outflow
ACC00132,amount anomaly,-0.170958,fraud ring structure,-0.067255,high avg transaction,-0.056392,amount anomaly | fraud ring structure | high avg transaction
ACC00674,amount anomaly,-0.190028,high avg transaction,-0.053099,large total outflow,-0.042824,amount anomaly | high avg transaction | large total outflow
ACC00910,amount anomaly,-0.196275,high avg transaction,-0.059359,transfer hub,-0.055206,amount anomaly | high avg transaction | transfer hub
ACC01454,amount anomaly,0.289177,high avg transaction,0.082783,fraud ring structure,0.081141,amount anomaly | high avg transaction | fraud ring structure
ACC01866,amount anomaly,-0.112281,transfer hub,0.089441,high receive volume,0.071752,amount anomaly | transfer hub | high receive volume
ACC00809,amount anomaly,-0.185012,high avg transaction,-0.053155,network influence,-0.050187,amount anomaly | high avg transaction | network influence
ACC00993,amount anomaly,-0.176038,transfer hub,-0.063733,high avg transaction,-0.053717,amount anomaly | transfer hub | high avg transaction
ACC01660,amount anomaly,-0.190438,high avg transaction,-0.055254,network influence,-0.049107,amount anomaly | high avg transaction | network influence
ACC00336,amount anomaly,-0.187775,high avg transaction,-0.057344,transfer hub,-0.052244,amount anomaly | high avg transaction | transfer hub
ACC00105,amount anomaly,-0.205521,high avg transaction,-0.054756,large total outflow,-0.051248,amount anomaly | high avg transaction | large total outflow
ACC01215,amount anomaly,-0.168942,high avg transaction,-0.052866,fraud ring structure,-0.04824,amount anomaly | high avg transaction | fraud ring structure
ACC01652,amount anomaly,-0.195987,high avg transaction,-0.048814,large total outflow,-0.045794,amount anomaly | high avg transaction | large total outflow
ACC01296,amount anomaly,-0.191477,network influence,-0.066615,high avg transaction,-0.044732,amount anomaly | network influence | high avg transaction
ACC01370,amount anomaly,-0.189151,high avg transaction,-0.055822,transfer hub,-0.055306,amount anomaly | high avg transaction | transfer hub
ACC01216,amount anomaly,-0.097562,transfer hub,0.067407,concentrated recipients,0.036683,amount anomaly | transfer hub | concentrated recipients
ACC01653,amount anomaly,-0.190019,large total outflow,-0.05085,network influence,-0.047235,amount anomaly | large total outflow | network influence
ACC01483,amount anomaly,-0.185774,high avg transaction,-0.066086,transfer hub,-0.049716,amount anomaly | high avg transaction | transfer hub
ACC00853,amount anomaly,-0.196053,high avg transaction,-0.054319,large total outflow,-0.041254,amount anomaly | high avg transaction | large total outflow
ACC00323,amount anomaly,-0.182453,high avg transaction,-0.050846,high send volume,-0.042439,amount anomaly | high avg transaction | high send volume
ACC00230,amount anomaly,-0.18808,high avg transaction,-0.049251,network influence,-0.043754,amount anomaly | high avg transaction | network influence
ACC00056,amount anomaly,-0.21545,high avg transaction,-0.067068,network influence,-0.057122,amount anomaly | high avg transaction | network influence
ACC01621,amount anomaly,-0.211526,high avg transaction,-0.064354,large total outflow,-0.041884,amount anomaly | high avg transaction | large total outflow
ACC01324,amount anomaly,-0.166788,high avg transaction,-0.048594,fraud ring structure,-0.048086,amount anomaly | high avg transaction | fraud ring structure
ACC00633,amount anomaly,-0.192621,high avg transaction,-0.052974,large total outflow,-0.03858,amount anomaly | high avg transaction | large total outflow
ACC01060,amount anomaly,-0.186024,high avg transaction,-0.060938,fraud ring structure,-0.04799,amount anomaly | high avg transaction | fraud ring structure
ACC00494,amount anomaly,-0.168987,high avg transaction,-0.067475,fraud ring structure,-0.047032,amount anomaly | high avg transaction | fraud ring structure
ACC01758,amount anomaly,-0.207401,high avg transaction,-0.050859,network influence,-0.048788,amount anomaly | high avg transaction | network influence
ACC00654,amount anomaly,-0.182116,network influence,-0.050567,fraud ring structure,-0.050081,amount anomaly | network influence | fraud ring structure
ACC00311,amount anomaly,-0.208668,network influence,-0.055054,high avg transaction,-0.053803,amount anomaly | network influence | high avg transaction
ACC01487,amount anomaly,-0.173223,fraud ring structure,-0.053594,high avg transaction,-0.047143,amount anomaly | fraud ring structure | high avg transaction
ACC00946,amount anomaly,-0.196171,high avg transaction,-0.057074,large total outflow,-0.046643,amount anomaly | high avg transaction | large total outflow
ACC01186,amount anomaly,-0.171781,high avg transaction,-0.055207,fraud ring structure,-0.036019,amount anomaly | high avg transaction | fraud ring structure
ACC01388,amount anomaly,-0.184421,high avg transaction,-0.060883,network influence,-0.054792,amount anomaly | high avg transaction | network influence
ACC01916,amount anomaly,-0.176141,high avg transaction,-0.057638,high send volume,-0.048512,amount anomaly | high avg transaction | high send volume
ACC01672,amount anomaly,-0.196054,large total outflow,-0.050832,high avg transaction,-0.049432,amount anomaly | large total outflow | high avg transaction
ACC01356,amount anomaly,-0.193091,high avg transaction,-0.067259,network influence,-0.053591,amount anomaly | high avg transaction | network influence
ACC01434,amount anomaly,-0.230376,high avg transaction,-0.060313,large total outflow,-0.049721,amount anomaly | high avg transaction | large total outflow
ACC00250,amount anomaly,-0.274341,fraud ring structure,-0.066036,high avg transaction,-0.062703,amount anomaly | fraud ring structure | high avg transaction
ACC01177,amount anomaly,-0.209363,high avg transaction,-0.058616,fraud ring structure,-0.050278,amount anomaly | high avg transaction | fraud ring structure
ACC00353,amount anomaly,-0.184861,high avg transaction,-0.064375,large total outflow,-0.045392,amount anomaly | high avg transaction | large total outflow
ACC00304,amount anomaly,-0.199023,network influence,-0.062735,fraud ring structure,-0.058805,amount anomaly | network influence | fraud ring structure
ACC00793,amount anomaly,0.309305,fraud ring structure,0.081514,high avg transaction,0.078911,amount anomaly | fraud ring structure | high avg transaction
ACC00219,amount anomaly,0.285313,high avg transaction,0.074492,diverse receivers,0.057722,amount anomaly | high avg transaction | diverse receivers
ACC00224,amount anomaly,-0.171778,high avg transaction,-0.057281,fraud ring structure,-0.046118,amount anomaly | high avg transaction | fraud ring structure
ACC01661,amount anomaly,-0.218215,high avg transaction,-0.061415,network influence,-0.061146,amount anomaly | high avg transaction | network influence
ACC01688,amount anomaly,0.291355,fraud ring structure,0.07956,high avg transaction,0.07795,amount anomaly | fraud ring structure | high avg transaction
ACC00639,amount anomaly,-0.182823,high avg transaction,-0.050388,fraud ring structure,-0.036255,amount anomaly | high avg transaction | fraud ring structure
ACC01696,amount anomaly,-0.086162,transfer hub,0.081377,network influence,0.040408,amount anomaly | transfer hub | network influence
ACC00923,amount anomaly,-0.20246,high avg transaction,-0.069333,large total outflow,-0.048178,amount anomaly | high avg transaction | large total outflow
ACC01878,amount anomaly,-0.208965,high avg transaction,-0.061818,large total outflow,-0.057492,amount anomaly | high avg transaction | large total outflow
ACC00305,amount anomaly,-0.173311,high avg transaction,-0.058023,network influence,-0.05209,amount anomaly | high avg transaction | network influence
ACC00213,amount anomaly,-0.18599,high avg transaction,-0.056054,fraud ring structure,-0.042715,amount anomaly | high avg transaction | fraud ring structure
ACC01854,amount anomaly,-0.186064,high avg transaction,-0.065906,large total outflow,-0.050863,amount anomaly | high avg transaction | large total outflow
ACC01928,amount anomaly,-0.184171,large total outflow,-0.050335,network influence,-0.045638,amount anomaly | large total outflow | network influence
ACC00925,amount anomaly,-0.189532,high avg transaction,-0.058159,large total outflow,-0.049949,amount anomaly | high avg transaction | large total outflow
ACC00333,amount anomaly,0.275288,fraud ring structure,0.074238,high avg transaction,0.073728,amount anomaly | fraud ring structure | high avg transaction
ACC01966,amount anomaly,-0.182875,high avg transaction,-0.05275,fraud ring structure,-0.044007,amount anomaly | high avg transaction | fraud ring structure
ACC01937,amount anomaly,0.502723,tight fraud cluster,0.025965,fraud ring structure,-0.023851,amount anomaly | tight fraud cluster | fraud ring structure
ACC00010,amount anomaly,-0.189875,high avg transaction,-0.053529,fraud ring structure,-0.048508,amount anomaly | high avg transaction | fraud ring structure
ACC01774,amount anomaly,-0.179437,high avg transaction,-0.052736,large total outflow,-0.049641,amount anomaly | high avg transaction | large total outflow
ACC00907,amount anomaly,-0.191052,high avg transaction,-0.070973,large total outflow,-0.052046,amount anomaly | high avg transaction | large total outflow
ACC01534,amount anomaly,-0.26373,high avg transaction,-0.06695,fraud ring structure,-0.056057,amount anomaly | high avg transaction | fraud ring structure
ACC01884,amount anomaly,-0.200981,high avg transaction,-0.063296,fraud ring structure,-0.052143,amount anomaly | high avg transaction | fraud ring structure
ACC00029,amount anomaly,-0.199014,fraud ring structure,-0.059297,high avg transaction,-0.056719,amount anomaly | fraud ring structure | high avg transaction
ACC00905,amount anomaly,-0.190044,high avg transaction,-0.059898,network influence,-0.052578,amount anomaly | high avg transaction | network influence
ACC00872,amount anomaly,-0.198038,high avg transaction,-0.06216,network influence,-0.045193,amount anomaly | high avg transaction | network influence
ACC00997,amount anomaly,-0.206638,high avg transaction,-0.05937,large total outflow,-0.036608,amount anomaly | high avg transaction | large total outflow
ACC01724,amount anomaly,-0.201,high avg transaction,-0.062672,network influence,-0.059798,amount anomaly | high avg transaction | network influence
ACC00275,amount anomaly,-0.17256,high avg transaction,-0.051741,large total outflow,-0.044715,amount anomaly | high avg transaction | large total outflow
ACC00060,amount anomaly,-0.196165,high avg transaction,-0.069375,large total outflow,-0.058884,amount anomaly | high avg transaction | large total outflow
ACC00591,amount anomaly,-0.203255,high avg transaction,-0.046847,fraud ring structure,-0.043341,amount anomaly | high avg transaction | fraud ring structure
ACC00450,amount anomaly,-0.170539,diverse receivers,0.095293,high send volume,0.093654,amount anomaly | diverse receivers | high send volume
ACC00045,amount anomaly,-0.185551,high avg transaction,-0.057831,large total outflow,-0.049872,amount anomaly | high avg transaction | large total outflow
ACC01152,amount anomaly,-0.197977,network influence,-0.062096,high avg transaction,-0.041866,amount anomaly | network influence | high avg transaction
ACC00196,amount anomaly,0.441385,network influence,0.091807,fraud ring structure,-0.03658,amount anomaly | network influence | fraud ring structure
ACC00093,amount anomaly,-0.246174,high avg transaction,-0.065261,fraud ring structure,-0.048871,amount anomaly | high avg transaction | fraud ring structure
ACC01764,amount anomaly,-0.19811,transfer hub,-0.065805,large total outflow,-0.043071,amount anomaly | transfer hub | large total outflow
ACC00959,amount anomaly,-0.191647,high avg transaction,-0.05826,transfer hub,-0.058016,amount anomaly | high avg transaction | transfer hub
ACC00018,amount anomaly,-0.191661,large total outflow,-0.059985,fraud ring structure,-0.051263,amount anomaly | large total outflow | fraud ring structure
ACC01322,amount anomaly,-0.19251,high avg transaction,-0.055772,fraud ring structure,-0.04548,amount anomaly | high avg transaction | fraud ring structure
ACC00559,amount anomaly,-0.200555,high avg transaction,-0.058013,transfer hub,-0.057916,amount anomaly | high avg transaction | transfer hub
ACC00033,amount anomaly,-0.21315,high avg transaction,-0.065308,large total outflow,-0.060407,amount anomaly | high avg transaction | large total outflow
ACC01289,amount anomaly,-0.197696,high avg transaction,-0.059597,large total outflow,-0.047424,amount anomaly | high avg transaction | large total outflow
ACC01990,amount anomaly,0.285097,high avg transaction,0.078071,fraud ring structure,0.066813,amount anomaly | high avg transaction | fraud ring structure
ACC00715,amount anomaly,-0.188408,high avg transaction,-0.060537,large total outflow,-0.051712,amount anomaly | high avg transaction | large total outflow
ACC00319,amount anomaly,-0.192258,high avg transaction,-0.061133,fraud ring structure,-0.059304,amount anomaly | high avg transaction | fraud ring structure
ACC01920,amount anomaly,-0.186604,high avg transaction,-0.042489,large total outflow,-0.040827,amount anomaly | high avg transaction | large total outflow
ACC00426,amount anomaly,-0.18283,network influence,-0.054892,fraud ring structure,-0.047417,amount anomaly | network influence | fraud ring structure
ACC00671,amount anomaly,-0.204389,high avg transaction,-0.061302,network influence,-0.050961,amount anomaly | high avg transaction | network influence
ACC00145,amount anomaly,-0.232955,high avg transaction,-0.055773,concentrated recipients,-0.049721,amount anomaly | high avg transaction | concentrated recipients
ACC01480,amount anomaly,-0.198974,high avg transaction,-0.06013,network influence,-0.056721,amount anomaly | high avg transaction | network influence
ACC01777,amount anomaly,-0.194209,high avg transaction,-0.062602,network influence,-0.053405,amount anomaly | high avg transaction | network influence
ACC00291,amount anomaly,-0.247245,high avg transaction,-0.055358,network influence,0.045773,amount anomaly | high avg transaction | network influence
ACC01801,amount anomaly,-0.174478,high avg transaction,-0.062747,network influence,-0.045753,amount anomaly | high avg transaction | network influence
ACC00437,amount anomaly,-0.180153,network influence,-0.064346,high avg transaction,-0.060813,amount anomaly | network influence | high avg transaction
ACC01395,amount anomaly,-0.204848,high avg transaction,-0.060716,large total outflow,-0.049408,amount anomaly | high avg transaction | large total outflow
ACC00953,amount anomaly,-0.26328,network influence,0.079768,fraud ring structure,-0.063118,amount anomaly | network influence | fraud ring structure
ACC00796,amount anomaly,-0.189168,high avg transaction,-0.056986,network influence,-0.048979,amount anomaly | high avg transaction | network influence
ACC00110,amount anomaly,-0.172769,high avg transaction,-0.058153,large total outflow,-0.051047,amount anomaly | high avg transaction | large total outflow
ACC00510,amount anomaly,-0.19983,fraud ring structure,-0.057404,high avg transaction,-0.0537,amount anomaly | fraud ring structure | high avg transaction
